DATE,CA,DISTRICT,SUBCOUNTY,PARISH,VILLAGE,WILDLIFE,NATURE OF CONFLICT,ACTION TAKEN
July 2021,,Kasese,Isango,Kanyampara,Kanyampara,Elephant,Crop raiding,Scare shooting
02/06/2022,QECA,Kasese,Nyamwamba,Airstrip,Kanyangeya,Elephant,Crop damages,Scare shooting
7/6/2022,QECA,Kasese,Nyamwamba,Airstrip,Kanyangeya,Elephant,Crop damages,Scare shooting
12/06/2022,QECA,Kasese,Nyamwamba,Airstrip,Kanyangeya,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Central Division,Kanyangeya,Kanyangeya,Elephant,Crop damages,Scare shooting
08/07/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kanyangeya,Elephant,Human death,Assessment carried out
February 2021,,Kasese,Nyamwamba,Kanyangeya,Kanyangeya,Elephant,Crop damages,Scare shooting
23/6/2022,QECA,Kasese,Nyamwamba,Nyakasanga,Kanyangeya,Elephant,Crop damages,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Kanyangeya,Elephant,Crop raiding,Scaring using local methods of drumming
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Kanyangeya,Elephant,Crop raiding,Scare shooting
04/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kanyangeya,Elephant,Crop raiding,Assessment carried out
05/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kanyangeya,Elephant,Crop raiding,Scare shooting
15/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kanyangeya,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Kanyangeya,Elephant,Crop raiding,Scare shooting
07/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kanyangeya,Elephant,Crop raiding,Scaring using local methods of drumming
31/10/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Kanyangeya,Elephant,Property damage,scare shooting
29/07/2022,QECA,Kasese,Karusandara,Karusandara,Kanyatete,Elephant,Crop damages,Scare shooting
March 2021,,Kasese,Karusandara,Kyalanga,Kanyatete,Elephant,Crop raiding,Scare shooting
17/07/2022,QECA,Kasese,Kyondo,Kyondo,Kinyayobya,Elephant,Crop damages,Scare shooting
19/09/2021,QECA,Kasese,Lake Katwe,Kyendangara,Karere,Elephant,Crop raiding,Scaring using local methods of drumming
29/05/2021,,Kasese,Karusandara,Karusandara,Karusandara,Elephant,Human death,Assessment carried out
21/12/2021,QECA,Kasese,Karusandara,Kyondo,Karusandara,Elephant,Crop damages,Assesment done
31/07/2022,QECA,Kasese,Karusandara,Kyondo,Karusandara,Elephant,Crop damages,Scare shooting
23/11/2021,QECA,Kasese,Central Division,Kanyangeya,Kasasiro,Elephant,Crop damages,Scaring using local methods of drumming and vuvuzeras
10/02/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kasasiro,Elephant,Crop damages,Scare shootings
April 2021,,Kasese,Central Division,Kanyangeya,Kasasiro,Elephant,Crop damages,scare shooting
18/12/2021,QECA,Kasese,Central Division,Kanyangeya,Kasasiro,Elephant,Crop damages,Scare Shooting
March 2021,,Kasese,Kasese Municipality,Railway Ward,Kasasiro,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kasasiro,Elephant,human death,taken to Hospital
29/05/2021,,Kasese,Central Division,KCCL,Kasasiro-Kidodo,Elephant,Crop damages,scare shooting
19/12/2022,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Elephant,water tank damage,scare shooting
16/10/2022,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Elephant,Property damage,Assessment carried out
16/10/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kasese,Elephant,Crop raiding,Scare shooting
14/04/2022,QECA,Kasese,Nyakiyumbu,Katholhu,Katholhu,Elephant,Crop damages,Local methods Used
15/04/2022,QECA,Kasese,Nyakiyumbu,Katholhu,Katholhu,Elephant,Crop damages,Local methods Used
23/06/2022,QECA,Kasese,Nyakiyumbu,Katholhu,Katholhu,Elephant,Crop damages,Scare shooting
27/6/2022,QECA,Kasese,Nyakiyumbu,Katholhu,Katholhu,Elephant,Crop damages,Scare shooting
6/7/2022,QECA,Kasese,Nyakiyumbu,Katholhu,Katholhu,Elephant,Crop damages,Scare shooting
8/7/2022,QECA,Kasese,Nyakiyumbu,Katholhu,Katholhu,Elephant,Crop damages,Scare shooting
25/03/2022,QECA,Kasese,Nyakiyumbu,Kayanja,Katholhu,Elephant,Crop raiding,local methods used
30/10/2022,QECA,Kasese,Nyakiyumbu,Kayanja,Katholhu,Elephant,Crop raiding,local methods used
30/03/2022,QECA,Kasese,Nyakatonzi,Muruti,Katholhu,Elephant,Crop raiding,scare shooting
January 2021,,Kasese,Nyakiyumbu,Katholhu,Katojo,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Katholhu,Katojo,Elephant,Crop damages,scare shooting
February 2021,,Kasese,Nyakiyumbu,Katholhu,Katojo,Elephant,Crop damages,Scare shooting
14/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scare shooting
15/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scaring using local methods of drumming
16/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scare shooting
17/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scaring using local methods of drumming
20/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scare shooting
23/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scare shooting
25/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scaring using local methods of drumming
July 2021,,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scaring using local methods of drumming
July 2021,,Kasese,Nyakiyumbu,Kitatura,Katojo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Nyakiyumbu,Nyakatonzi,Katojo,Elephant,Crop raiding,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Kayanja,Kayanja,Elephant,Crop raiding,Sensitisation meeting
16/12/2021,QECA,Kasese,Central Division,Kanyangeya,KCCL,Elephant,Crop damages,Scare Shooting
19/05/2021,,Kasese,Central Division,KCCL,KCCL,Elephant,Crop damages,Scaring using local methods of vuvuzeras
21/05/2021,,Kasese,Central Division,KCCL,KCCL,Elephant,Crop damages,Scaring using local methods of drumming
05/06/2021,QECA,Kasese,Kasese Municipality,Kiteso,KCCL,Elephant,Crop raiding,Assessment carried out
12/03/2022,QECA,Kasese,Kasese Municipality,Railway Ward,KCCL,Elephant,Crop raiding,Scare shooting
14/03/2022,QECA,Kasese,Kasese Municipality,Railway Ward,KCCL,Elephant,Crop raiding,Sscare shootng
15/03/2022,QECA,Kasese,Kasese Municipality,Railway Ward,KCCL,Elephant,Crop raiding,Scare shooting
17/03/2022,QECA,Kasese,Kasese Municipality,Railway Ward,KCCL,Elephant,Crop raiding,Scaring using local methods of drumming
09/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,KCCL,Elephant,Crop raiding,Scare shooting
30/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,KCCL,Elephant,Crop raiding,scare shooting
31/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,KCCL,Elephant,Crop raiding,scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,"KCCL, Kiteso, Kidodo",Elephant,Crop raiding,Scare shooting
17/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,"KCCL, Kiteso, Kidodo",Elephant,Crop raiding,Assessment carried out
30/12/2021,QECA,Kasese,Busunga,Kanyampara,Kempara,Elephant,Crop damages,Scare Shooting
27/11/2021,QECA,Kasese,Nyamwamba,Kanyangeya,Kidodo,Elephant,Crop damages,Scare shooting
24/08/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kidodo,Elephant,Crop damages,Scare shooting
16/05/2021,,Kasese,Central Division,KCCL,Kidodo,Elephant,Crop damages,Scaring using local methods of vuvuzeras
22/05/2021,,Kasese,Central Division,KCCL,Kidodo,Elephant,Crop damages,Scaring using local methods of vuvuzeras
24/05/2021,,Kasese,Central Division,KCCL,Kidodo,Elephant,Crop damages,Scaring using local methods of vuvuzeras
31/05/2021,,Kasese,Central Division,KCCL,Kidodo,Elephant,Crop damages,Scaring using local methods of vuvuzeras
27/10/2022,,Kasese,Central Division,Railway Ward,Kidodo,Elephant,human threat,local methods used
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scaring using local methods of drumming
March 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scaring using local methods of drumming
13/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scaring using local methods of drumming
14/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
16/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
08/10/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scaring using local methods of drumming
14/10/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scaring using local methods of drumming
13/03/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Kidodo,Elephant,Crop raiding,Scare shooting
February 2021,,Kasese,Central Division,Kanyangeya,Kidodo,Elephant,Crop damages,Assessment carried out
09/12/2021,QECA,Kasese,Central Division,Kanyangeya,Kidodo,Elephant,Crop damages,Scare Shooting
10/12/2021,QECA,Kasese,Central Division,Kanyangeya,Kidodo,Elephant,Crop damages,Scare Shooting
26/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,"Kidodo, Kanyangeya and Airstrip",Elephant,Crop raiding,Scare shooting
27/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,"Kidodo, Kanyangeya and Airstrip",Elephant,Crop raiding,Scare shooting
27/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,"Kidodo, Kanyangeya and Airstrip",Elephant,Crop raiding,Scare shooting
21/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,"Kidodo, Kanyangeya and Airstrip",Elephant,Crop raiding,Scare shooting
20/11/2021,QECA,Kasese,Central Division,Kanyangeya,Kidodo-Kasasiro,Elephant,Crop damages,Scare shooting
11/06/2021,QECA,Kasese,Karusandara,Kanamba,Kifumbira,Elephant,Crop raiding,Assessment carried out
March 2021,,Kasese,Karusandara,Kyalanga,Kifumbira,Elephant,Crop raiding,Scare shooting
April 2021,,Kasese,Muhokya,Kahendero,Kigaba,Elephant,Property destruction,Assessment carried out
06/01/2022,QECA,Kasese,Nyakatonzi,Nyakatonzi,Kigando,Elephant,Crop damages,Scareshooting
March 2021,,Kasese,Karusandara,Kyalanga,Kigermany,Elephant,Crop raiding,Scare shooting
11/07/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kihara,Elephant,Crop damages,Scare shooting
13/07/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kihara,Elephant,Crop damages,Assessment carried out
05/02/2022,QECA,Kasese,Nyamwamba,Nyakasanga,Kihara,Elephant,Crop damages,Scaring using local methods of drumming
24/6/2022,QECA,Kasese,Nyamwamba,Nyakasanga,Kihara,Elephant,Crop damages,Scare shooting
29/6/2022,QECA,Kasese,Nyamwamba,Nyakasanga,Kihara,Elephant,Crop damages,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Kihara,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Kihara,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Kihara,Elephant,Crop raiding,Scare shooting
23/05/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Kihara,Elephant,Crop raiding,local methods used
21/06/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Kihara,Elephant,Crop damages,Local methods used
27/04/2022,QECA,Kasese,Nyamwamba,Scheme,Kihara,Elephant,Crop damages,Local methods Used
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Kijamani,Elephant,Crop raiding,Scare shooting
03/08/2022,QECA,Kasese,Karusandara,Karusandara,Kijjamani,Elephant,Crop damages,Scare shooting
25/03/2022,QECA,Kasese,Karusandara,Kyalanga,Kikoga,Elephant,Crop raiding,scare shooting
10/06/2021,QECA,Kasese,Kahokya,Kahendero,Kikorongo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Muhokya,Kahendero,Kikorongo,Elephant,Crop raiding,Scare shooting
06/09/2022,QECA,Kasese,Kasese Municipality,Kanyangeya,Kikonjo,Elephant,Crop damages,scare shooting
27/09/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kikonjo,Elephant,Crop damages,scare shooting
27/6/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kikonjo,Elephant,Crop damages,Scare shooting
05/08/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kikonjo,Elephant,Crop damages,Scare shooting
01/05/2021,,Kasese,Kasese Municipality,Railway Ward,Kikonjo,Elephant,Crop damages,scare shooting
March 2021,,Kasese,Kasese Municipality,Railway Ward,Kikonjo,Elephant,Crop raiding,Scare shooting
16/05/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Kikonjo,Elephant,Crop raiding,Scare shooting
3/7/2022,QECA,Kasese,Lake Katwe,Kikorongo,Kikorongo,Elephant,Human threat,Scare shooting
7/7/2022,QECA,Kasese,Lake Katwe,Kikorongo,Kikorongo,Elephant,Crop damages,Scare shooting
09/07/2022,QECA,Kasese,Lake Katwe,Kikorongo,Kikorongo,Elephant,Crop damages,Scare shooting
09/07/2022,QECA,Kasese,Lake Katwe,Kikorongo,Kikorongo,Elephant,Crop damages,Assessment carried out
July 2021,,Kasese,Kasese Municipality,Railway Ward,Kilembe,Elephant,Crop raiding,Scaring using local methods of drumming
20/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kilembe,Elephant,Crop raiding,Scare shooting
13/07/2022,QECA,Kasese,Kyondo,Kyondo,Kinyayobya,Elephant,Crop damages,Assessment carried out
01/01/2022,QECA,Kasese,Nyakatonzi,Kamuruli,Kipanga,Elephant,Crop damages,Scareshooting
14/01/2022,QECA,Kasese,Nyakatonzi,Muruti,Kipanga,Elephant,property damage,Assessment carried out
25/03/2022,QECA,Kasese,Nyakatonzi,Muruti,Kipanga,Elephant,Crop raiding,local methods used
23/08/2021,QECA,Kasese,Lake Katwe,Busunga,Kisanga,Elephant,Crop raiding,scare shooting
11/11/2021,QECA,Kasese,Lake Katwe,Busunga,Kisanga,Elephant,Crop damages,Scare shooting
09/03/2022,QECA,Kasese,Kisinga,Kagando,Kisanga,Elephant,Crop raiding,Assessment carried out
21/03/2022,QECA,Kasese,Kisinga,Kagando,Kisanga,Elephant,Crop raiding,scare shooting
27/12/2022,QECA,Kasese,Nyakatonzi,Kisasa,Kisasa,Elephant,Crop damages,Assessment carried out
23/11/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Kisasa,Elephant,Crop damages,scare Shooting
26/11/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Kisasa,Elephant,Crop damages,scare Shooting
27/11/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Kisasa,Elephant,Crop damages,Assessment carried out
02/09/2021,QECA,Kasese,Kisinga,Kisinga,Kisasa,Elephant,Crop raiding,Scare shooting
16/09/2021,QECA,Kasese,Kisinga,Kisinga,Kisasa,Elephant,Crop raiding,Scare shooting
23/09/2021,QECA,Kasese,Kisinga,Kisinga,Kisasa,Elephant,Crop raiding,scare shooting
24/08/2021,QECA,Kasese,Lake Katwe,Kisinga,Kisasa,Elephant,Crop raiding,Scare shooting
24/08/2021,QECA,Kasese,Lake Katwe,Kisinga,Kisasa,Elephant,Crop raiding,scare  shooting
28/05/2021,,Kasese,Nyakiyumbu,Katojo,Kitatura,Elephant,Crop damages,scare shooting
15/12/2021,QECA,Kasese,Nyakiyumbu,Katholhu,Kitaturwa,Elephant,Crop damages,scare Shooting
16/12/2021,QECA,Kasese,Nyakiyumbu,Katholhu,Kitaturwa,Elephant,Crop damages,scare Shooting
March 2021,,Kasese,Nyakiyumbu,Kayanja,Kitaturwa,Elephant,Crop damages,Assessment carried out
03/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Kitaturwa,Elephant,Crop raiding,Scare shooting
10/05/2021,,Kasese,Central Division,KCCL,Kiteso,Elephant,Crop damages,Scaring using local methods of vuvuzeras
01/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kiteso,Elephant,Crop raiding,Scare shooting
06/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kiteso,Elephant,Crop raiding,Scaring using local methods of drumming
17/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kiteso,Elephant,Crop raiding,Scare shooting
19/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kiteso,Elephant,Crop raiding,Scare shooting
21/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kiteso,Elephant,Crop raiding,Scare shooting
03/08/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kiteso,Elephant,Crop raiding,Scare shooting
20/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Kiteso and Kidodo,Elephant,Crop raiding,Scare shooting
20/02/2022,QECA,Kasese,Lake Katwe,Katwe-Kabatoro,Kyakitale,Elephant,Human death,Assessment carried out
2/7/2022,QECA,Kasese,Kisinga,Kagando,Kyalanga,Elephant,Crop damages,Scare shooting
19/05/2021,,Kasese,Karusandara,Karusandara,Kyalanga,Elephant,Crop damages,scare shooting
22/05/2021,,Kasese,Karusandara,Karusandara,Kyalanga,Elephant,Crop damages,scare shooting
23/05/2021,,Kasese,Karusandara,Karusandara,Kyalanga,Elephant,Crop damages,scare shooting
31/05/2021,,Kasese,Karusandara,Karusandara,Kyalanga,Elephant,Crop damages,scare shooting
04/08/2022,QECA,Kasese,Kisinga,Kisinga,Kyalanga,Elephant,Crop damages,Scare shooting
10/08/2022,QECA,Kasese,Kisinga,Kisinga,Kyalanga,Elephant,Crop damages,Scare shooting
25/08/2022,QECA,Kasese,Kisinga,Kisinga,Kyalanga,Elephant,Crop damages,Scare shooting
28/02/2022,QECA,Kasese,Karusandara,Kyalanga,Kyalanga,Elephant,Crop damages,Scare shootings
21/12/2022,QECA,Kasese,Karusandara,Kyalanga,Kyalanga,Elephant,Crop damages,scare shooting
30/11/2022,QECA,Kasese,Nyamwamba,Kyalanga,Kyalanga,Elephant,Crop damages,scare Shooting
05/04/2022,QECA,Kasese,Karusandara,Kyondo,Kyalanga,Elephant,Crop damages,Scares shooting
07/04/2022,QECA,Kasese,Karusandara,Kyondo,Kyalanga,Elephant,Crop damages,Scares shooting
10/04/2022,QECA,Kasese,Karusandara,Kyondo,Kyalanga,Elephant,Crop damages,Scares shooting
29/07/2022,QECA,Kasese,Karusandara,Kyondo,Kyalanga,Elephant,Crop damages,Assessment carried out
10/01/2022,QECA,Kasese,Karusandara,Kyondo,Kyalanga,Elephant,Crop damages,Scareshooting
06/10/2021,QECA,Kasese,Ibanda,Ibanda,Kyallughatu,Elephant,Human injuryof Miss Masika Daphine,Assessment carried out
21/12/2022,QECA,Kasese,Kilembe,Kyambogho,Kyambogho,Elephant,Crop damages,Assessment carried out
23/11/2021,QECA,Kasese,Central Division,Kyondo,Kyondo,Elephant,Crop damages,Scare shooting
17/11/2022,QECA,Kasese,Kyondo,Kyondo,Kyondo,Elephant,Crop damages,scare Shooting
11/07/2022,QECA,Kasese,Nyamwamba,Kyondo,Kyondo,Elephant,Crop damages,Scare shooting
26/6/2022,QECA,Kasese,Nyamwamba,Kyondo,Kyondo,Elephant,Human injury,Treatment was done
14/11/2021,QECA,Kasese,Rukoki,Majengo,Kyondo,Elephant,Crop damages,Scare shooting
02/08/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kyondo,Elephant,Crop raiding,scare shooting
07/08/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kyondo,Elephant,Crop raiding,scare shooting
09/08/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kyondo,Elephant,Crop raiding,Scare shooting
12/08/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kyondo,Elephant,Crop raiding,scare shooting
15/03/2022,QECA,Kasese,Kasese Municipality,Nyamwamba,Kyondo,Elephant,Crop raiding,Scare shooting
03/01/2022,QECA,Kasese,Nyamwamba,Scheme,Kyondo,Elephant,Crop damages,Scareshooting
14/01/2022,QECA,Kasese,Karusandara,Kyalanga,Kyondo,Elephant,Crop damages,Scareshooting
31/01/2022,QECA,Kasese,Nyamwamba,Scheme,Kyondo,Elephant,Crop damages,Scareshooting
July 2021,,Kasese,Muhokya,Kahendero,Lyemibuza,Elephant,Crop raiding,Scaring using local methods of drumming
July 2021,,Kasese,Muhokya,Kahendero,Lyemibuza,Elephant,Crop raiding,Scaring using local methods of drumming
30/06/2021,QECA,Kasese,Kahokya,Kikorongo,Lyemibuza,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Katwe-Kabatoro,Kikorongo,Lyemibuza,Elephant,Crop raiding,Scare shooting
22/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Magengo,Elephant,Crop raiding,Scare shooting
09/06/2022,QECA,Kasese,Nyamwamba,Airstrip,Majengo,Elephant,Crop damages,Scare shooting
March 2021,,Kasese,Karusandara,Kyalanga,Majengo,Elephant,Crop raiding,Assessment carried out
March 2021,,Kasese,Karusandara,Kyalanga,Majengo,Elephant,Crop raiding,Scare shooting
30/07/2022,QECA,Kasese,Karusandara,Kyondo,Majengo,Elephant,Crop damages,Assessment carried out
01/08/2022,QECA,Kasese,Karusandara,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
08/08/2022,QECA,Kasese,Karusandara,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
28/08/2022,QECA,Kasese,Karusandara,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
