DATE,CA,DISTRICT,SUBCOUNTY,PARISH,VILLAGE,WILDLIFE,NATURE OF CONFLICT,ACTION TAKEN
06/08/2022,QECA,Kasese,Kyondo,Kyondo,Majengo,Elephant,Crop damages,Local methods used
1/7/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
5/7/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
7/7/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
8/7/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
12/07/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
13/07/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
18/07/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
23/07/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
27/07/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
28/07/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
27/6/2022,QECA,Kasese,Nyamwamba,Kyondo,Majengo,Elephant,Crop damages,Scare shooting
29/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
24/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
30/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
14/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
15/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
27/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Nyamwamba,Majengo,Elephant,Crop raiding,Scare shooting
29/11/2022,QECA,Kasese,Nyamwamba,Scheme,Majengo,Elephant,Crop damages,scare Shooting
28/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo and Kanyangeya,Elephant,Crop raiding,Scare shooting
21/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Majengo and Kyondo,Elephant,Crop raiding,Scare shooting
February 2021,,Kasese,Karusandara,Kyondo,Mubuku,Elephant,Crop damages,Scare shooting
February 2021,,Kasese,Karusandara,Kyondo,Mubuku,Elephant,Crop damages,Scare shooting
07/08/2021,QECA,Kasese,Karusandara,Kyalanga,Mubuku,Elephant,Crop raiding,Scare shooting
09/08/2021,QECA,Kasese,Karusandara,Kyalanga,Mubuku,Elephant,Crop raiding,Scare shooting
09/08/2021,QECA,Kasese,Karusandara,Kyalanga,Mubuku,Elephant,Crop raiding,Assessment carried out
10/08/2021,QECA,Kasese,Karusandara,Kyalanga,Mubuku,Elephant,Crop raiding,Scare shooting
27/05/2021,,Kasese,Karusandara,Kyondo,Mubuku,Elephant,Crop damages,scare shooting
July 2021,,Kasese,Muhokya,Kahendero,Muhokya,Elephant,Crop raiding,Scare shooting
22/11/2022,QECA,Kasese,Nyakatonzi,Muruti,Muruti,Elephant,Crop damages,scare Shooting
08/12/2021,QECA,Kasese,Nyakatonzi,Nyamugasani,Muruti,Elephant,Crop damages,Scare Shooting
March 2021,,Kasese,Karusandara,Kyalanga,Nyabigaga,Elephant,Crop raiding,Scare shooting
17/10/2022,QECA,Kasese,Karusandara,Kyondo,Nyabigaga,Elephant,Crop raiding,scare shooting
18/10/2022,QECA,Kasese,Karusandara,Kyondo,Nyabigaga,Elephant,Crop raiding,scare shooting
24/10/2022,QECA,Kasese,Karusandara,Kyondo,Nyabigaga,Elephant,Crop raiding,scare shooting
27/10/2022,QECA,Kasese,Karusandara,Kyondo,Nyabigaga,Elephant,Crop raiding,scare shooting
26/06/2021,QECA,Kasese,Nyakiyumbu,Kayanja,Nyakatonzi,Elephant,Crop raiding,Scare shooting
23/06/2021,QECA,Kasese,Nyakiyumbu,Busunga,Nyamate,Elephant,Crop raiding,Scare shooting
03/10/2022,QECA,Kasese,Munkunyu,Nyamatunga,Nyamatunga,Elephant,Crop raiding,local methods used
31/10/2022,QECA,Kasese,Munkunyu,Nyamatunga,Nyamatunga,Elephant,Crop raiding,scare shooting
02/11/2022,QECA,Kasese,Nyakatonzi,Bukangara,Nyamatunga,Elephant,Crop damages,scare Shooting
April 2021,,Kasese,Nyakatonzi,Nyakatonzi,Nyamatunga,Elephant,Crop damages,Scaring using local methods of vuvuzeras
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Assessment carried out
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Assessment carried out
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakatonzi,Nyamugasani,Nyamatunga,Elephant,Crop damages,Scare shooting
06/10/2021,QECA,Kasese,Nyakatonzi,Bukangara,Nyamugasani,Elephant,Crop raiding,Scare shooting
20/08/2022,QECA,Kasese,Katwe-Kabatoro,Nyamugasani,Nyamugasani,Elephant,Human threatening,Scare shooting
23/10/2021,QECA,Kasese,Lake Katwe,Busunga,Nyamugasani,Elephant,Crop raiding,scare shooting
19/06/2022,QECA,Kasese,Lake Katwe,Busunga,Nyaruzigati,Elephant,Crop damages,Scare shooting
28/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Nyaruzigati,Elephant,Crop raiding,Scare shooting
11/10/2021,QECA,Kasese,Lake Katwe,Kabirizi,Nyaruzigati,Elephant,Crop raiding,Scare shooting
12/10/2021,QECA,Kasese,Lake Katwe,Kabirizi,Nyaruzigati,Elephant,Crop raiding,Scare shooting
20/06/2022,QECA,Kasese,Lake Katwe,Kikorongo,Nyaruzigati,Elephant,Crop damages,Local methods used
05/06/2022,QECA,Kasese,Lake Katwe,Busunga,Nzirambi,Elephant,Crop damages,Scare shooting
July 2021,,Kasese,Nyakiyumbu,Kayanja,Nzirambi,Elephant,Crop raiding,Scaring using local methods of drumming
July 2021,,Kasese,Nyakiyumbu,Kayanja,Nzirambi,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Nyakiyumbu,Kayanja,Nzirambi,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Nyakiyumbu,Kayanja,Nzirambi,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Nyakiyumbu,Kayanja,Nzirambi,Elephant,Crop raiding,Scare shooting
February 2021,,Kasese,Karusandara,Karusandara,Omukibati,Elephant,Crop damages,Scare shooting
July 2021,,Kasese,Muhokya,Kahendero,Omurutokye,Elephant,Crop raiding,Scare shooting
18/03/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Railway Ward,Elephant,Crop raiding,Scaring using local methods of drumming
22/04/2022,QECA,Kasese,Kasese Municipality,Kanyangeya,Railway Ward,Elephant,Crop damages,Scare shooting
17/02/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Railway Ward,Elephant,Crop damages,Scare shootings
24/02/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Railway Ward,Elephant,Crop damages,Scare shootings
09/06/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Railway Ward,Elephant,Crop damages,Scare shooting
14/08/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Railway Ward,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Lake Katwe,Hamukungu,Rubona,Elephant,Human death,Assessment carried out
12/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Rukoki,Elephant,Crop raiding,Scare shooting
16/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Rukoki,Elephant,Crop raiding,Scare shooting
17/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Rukoki,Elephant,Crop raiding,Scare shooting
15/12/2021,QECA,Kasese,Lake Katwe,Busunga,Rwamante,Elephant,Crop damages,Assesment done
13/12/2022,QECA,Kasese,Lake Katwe,Busunga,Rwamante,Elephant,Crop damages,scare shooting
14/12/2022,QECA,Kasese,Lake Katwe,Busunga,Rwamante,Elephant,Crop damages,scare shooting
21/12/2022,QECA,Kasese,Lake Katwe,Busunga,Rwamante,Elephant,Crop damages,scare shooting
26/12/2022,QECA,Kasese,Lake Katwe,Busunga,Rwamante,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Kinyamaseke,Busunga,Rwamante,Elephant,Human injury,Taken to hospital
13/03/2022,QECA,Kasese,Lake Katwe,Busunga,Rwamante,Elephant,Crop raiding,Assessment carried out
25/10/2022,QECA,Kasese,Nyakiyumbu,Katholhu,Rwamante,Elephant,Crop raiding,scare shooting
March 2021,,Kasese,Karusandara,Kyalanga,Rwebigaga,Elephant,Crop raiding,Scare shooting
March 2021,,Kasese,Karusandara,Kyalanga,Rwebigaga,Elephant,Crop raiding,Scare shooting
08/12/2021,QECA,Kasese,Central Division,Kanyangeya,Rwebigogo,Elephant,Crop damages,Scare Shooting
11/12/2021,QECA,Kasese,Central Division,Kanyangeya,Rwebigogo,Elephant,Crop damages,Scare Shooting
February 2021,,Kasese,Karusandara,Karusandara,Rwebigogo,Elephant,Crop damages,Scare shooting
14/07/2022,QECA,Kasese,Kyondo,Kyondo,Rwebigogo,Elephant,Crop damages,Local methods used
20/12/2021,QECA,Kasese,Central Division,Kanyangeya,Rwebigogo and Kadeya,Elephant,Crop damages,Assesment done
January 2021,,Kasese,Nyakiyumbu,Katholhu,Rwehingo,Elephant,Crop damages,scare shooting
January 2021,,Kasese,Nyakiyumbu,Katholhu,Rwehingo,Elephant,Crop damages,scare shooting
July 2021,,Kasese,Nyakiyumbu,Kayanja,Rwehingo,Elephant,Crop raiding,Scare shooting
16/11/2021,QECA,Kasese,Nyakatonzi,Kitatura,Rwehingo,Elephant,Crop damages,Scare shooting
30/05/2021,,Kasese,Nyakiyumbu,Kitatura,Rwehingo,Elephant,Crop damages,scare shooting
02/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Rwehingo,Elephant,Crop raiding,Scare shooting
05/06/2021,QECA,Kasese,Nyakiyumbu,Kitatura,Rwehingo,Elephant,Crop raiding,Scare shooting
16/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,Scare shooting
17/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,Scare shooting
19/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,Scare shooting
20/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,scare shooting
22/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,Scare shooting
23/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,Scare shooting
29/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,Scare shooting
30/10/2021,QECA,Kasese,Katholhu,Kitaturwa,Rwehingo,Elephant,Crop raiding,Scare shooting
11/11/2021,QECA,Kasese,Nyakatonzi,Nyakatonzi,Rwehingo,Elephant,Crop damages,Scare shooting
12/11/2021,QECA,Kasese,Nyakatonzi,Nyakatonzi,Rwehingo,Elephant,Crop damages,Scare shooting
July 2021,,Kasese,Nyakiyumbu,Nyakatonzi,Rwehingo,Elephant,Human injury,Taken to bwera hospital hwere he passed on
28/11/2021,QECA,Kasese,Nyamugasani,Nyakatonzi,Rwehingo,Elephant,Crop damages,Scare shooting
29/11/2021,QECA,Kasese,Nyamugasani,Nyakatonzi,Rwehingo,Elephant,Crop damages,Scare shooting
21/12/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
21/12/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
22/12/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Rwehingo,Elephant,Crop damages,local methods
24/12/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
26/12/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
26/12/2022,QECA,Kasese,Nyakatonzi,Rwehingo,Rwehingo,Elephant,Crop damages,Assessment carried out
05/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
07/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
10/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
11/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
14/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,local methods
15/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
17/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,local methods
19/12/2022,QECA,Kasese,Nyakiyumbu,Rwehingo,Rwehingo,Elephant,Crop damages,scare shooting
March 2021,,Kasese,Karusandara,Kyalanga,Rwengari,Elephant,Crop raiding,Scare shooting
28/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,rwentuha,Elephant,Crop raiding,Scaring using local methods of drumming
03/05/2022,QECA,Kasese,Nyakatonzi,Kamuruli,rwentuha,Elephant,Crop raiding,local methods used
January 2021,,Kasese,Nyakiyumbu,Rwehingo,Rwentuha,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Rwehingo,Rwentuha,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Rwehingo,Rwentuha,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Rwehingo,Rwentuha,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Rwehingo,Rwentuha and Katholu,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Rwehingo,Rwentuha and Katholu,Elephant,Crop damages,Scare shooting
06/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Rwentutu,Elephant,Crop raiding,Scare shooting
08/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Rwentutu,Elephant,Crop raiding,Scaring using local methods of drumming
11/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Rwentutu,Elephant,Crop raiding,Scare shooting
18/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Rwentutu,Elephant,Crop raiding,Scare shooting
25/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Rwentutu,Elephant,Crop raiding,Scare shooting
27/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Rwentutu,Elephant,Crop raiding,Scare shooting
02/10/2021,QECA,Kasese,Lake Katwe,Kabirizi,Rwentutu,Elephant,Crop raiding,Scare shooting
01/12/2021,QECA,Kasese,Lake Katwe,Kikorongo,Ryemibusa,Elephant,Crop damages,Scare Shooting
02/12/2021,QECA,Kasese,Lake Katwe,Kikorongo,Ryemibusa,Elephant,Crop damages,Scare Shooting
07/09/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Salute B,Elephant,Crop raiding,Scare shooting
15/11/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Salute B,Elephant,Crop damages,scare Shooting
17/11/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Salute B,Elephant,Crop damages,scare Shooting
20/11/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Salute B,Elephant,Crop damages,scare Shooting
22/11/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Salute B,Elephant,Crop damages,scare Shooting
28/11/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Salute B,Elephant,Crop damages,scare Shooting
21/01/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Salute B,Elephant,Crop damages,Scareshooting
26/06/2021,QECA,Kasese,Karusandara,Kyalanga,Tweyambe,Elephant,Crop raiding,Scaring using local methods of drumming
April 2021,,Kasese,Karusandara,Kyondo,Tweyambe,Elephant,Crop damages,scare shooting
12/02/2022,QECA,Kasese,Kisinga,Kyarumba,Kyalanga,Giant forest hog,Crop damages,Assessment carried out
March 2021,,Kasese,Katwe-Kabatoro,Hamukungu,Hamukungu,Hippopotamus,House damage,Assessment carried out
27/02/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Hippopotamus,Human threats,Scaring using local methods of drumming
15/08/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Hippopotamus,Kemale Jane aged 36 was injured and evacuated to Kilembe Mines Hospital for treatment,Assessment carried out
05/05/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Hippopotamus,human death,Assessment carried out
17/12/2021,QECA,Kasese,Central Division,Kanyangeya,Kanyangeya,Hippopotamus,Human injuryof Dominic Rocky,Assesment done
05/06/2021,QECA,Kasese,Kasese Municipality,Nyamwamba,Kanyangeya,Hippopotamus,Crop raiding,Assessment carried out
January 2021,,Kasese,Central Division,Kanyangeya,Kanyangeya,Hippopotamus,Crop damages and Human injury,Assessment carried out
January 2021,,Kasese,Central Division,Kanyangeya,Kanyangeya,Hippopotamus,Crop damages and Human injury,Assessment carried out
February 2021,,Kasese,Nyamwamba,Kanyangeya,Kanyangeya,Hippopotamus,Human threat,Scare shooting
January 2021,,Kasese,Lake Katwe,Katunguru,Kasenyi,Hippopotamus,Human injury,Assessment carried out
March 2021,,Kasese,Lake Katwe,Kasenyi,Kasenyi,Hippopotamus,Human injury,Taken to hospital
02/10/2021,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Hippopotamus,1 cow killed for Mr Bisasira Aggry,Assessment carried out
24/05/2022,QECA,Kasese,Lake Katwe,Katwe-Kabatoro,Kashaka,Hippopotamus,human threat,local methods used
March 2021,,Kasese,Lake Katwe,Katwe-Kabatoro,Katwe-Kabatoro,Hippopotamus,Human Threat,Captured
04/12/2021,QECA,Kasese,Central Division,Kanyangeya,Kidodo,Hippopotamus,Crop damages,Assesment done
05/12/2021,QECA,Kasese,Central Division,Kanyangeya,Kidodo,Hippopotamus,Crop damages,Assesment done
07/12/2021,QECA,Kasese,Central Division,Kanyangeya,Kidodo,Hippopotamus,Crop damages,Scare Shooting
February 2021,,Kasese,Katwe-Kabatoro,Top Hill,Kyarukara,Hippopotamus,Human death,
25/11/2022,QECA,Kasese,Kilembe,Kabirizi,Mahango,Hippopotamus,Human injury,Taken to hospital.
20/12/2022,QECA,Kasese,Mubuku,Mubuku,Mubuku,Hippopotamus,Crop damages,Assessment carried out
04/05/2021,,Kasese,Lake Katwe,Kasenyi,Mwaro,Hippopotamus,human death,Taken to hospital
05/12/2022,QECA,Kasese,Katwe-Kabatoro,Rwenjubu,Rwenjubu,Hippopotamus,Human injury,Taken to hospital
March 2021,,Kasese,Lake Katwe,Katwe-Kabatoro,Katwe-Kabatoro,Hippopotamus,Predation,Assessment carried out
27/11/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Hyena,livestock Predation,Assessment carried out
04/11/2021,QECA,Kasese,Lake Katwe,Busunga,Kanyampara,Hyena,Predation,Assessment carried out
21/04/2022,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Hyena,Predation,Assessment carried out
8/7/2022,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Hyena,Predation,Assessment carried out
20/06/2021,QECA,Kasese,Katwe-Kabatoro,Katwe-Kabatoro,Kasenyi,Hyena,predation,Assessment carried out
04/12/2021,QECA,Kasese,Lake Katwe,Kanyampara,Kempara,Hyena,Predationof a 1 calf of Mrs Biira Hallen Bwambale,Assesment done
23/12/2021,QECA,Kasese,Kagando,Kagando,Kisanga,Hyena,Predationof 1 Pig,Assesment done
04/03/2022,QECA,Kasese,Katwe-Kabatoro,Kyarukara,Nyamugasani,Hyena,Predation,Assessment carried out
20/05/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Leopard,Predation,Assessment carried out
17/12/2021,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predationof 1 goat,Assesment done
01/02/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Compansetion & Assessment carried out
11/02/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Assessment carried out
25/04/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Compansionate
14/09/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Assessment carried out
February 2021,,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Assessment carried out
03/03/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Compasation
17/03/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Assessment carried out
07/05/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Leopard,Predation,Compassionate
14/05/2021,,Kasese,Lake Katwe,Katwe-Kabatoro,Katwe-Kabatoro,Leopard,Predation,Carcasses taken by owner
28/08/2022,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Leopard,Predation,Assessment carried out
April 2021,,Kasese,Lake Katwe,Omukigabo,Kasenyi,Leopard,Predation,Assessment carried out
12/05/2021,,Kasese,Lake Katwe,Kasenyi,Kasenyi,Leopard,Human injury,Assessment carried out
29/09/2021,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Leopard,1 goat killed for Mr Babiha Deo,Assessment carried out
March 2021,,Kasese,Kasese Municipality,Railway Ward,Kikonjo,Leopard,Predation,Assessment carried out
April 2021,,Kasese,Kilembe,Kilembe,Kilembe,Leopard,Predation,
March 2021,,Kasese,Lake Katwe,Hamukungu,Hamukungu,Lion,Predation,Sensitisation meeting
14/09/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Lion,Predation,Assessment carried out
2/7/2022,QECA,Kasese,Lake Katwe,Hamukungu,Khamukungu,Lion,Human threat,Translocated
13/03/2022,QECA,Kasese,Katwe-Kabatoro,Nyamugasani,Nyamugasani,Lion,predation,Assessment carried out
07/10/2022,QECA,Kasese,Muhokya,Hamukungu,Hamukungu,Spitting cobra,human threat,Translocated
April 2021,,Kasese,Lake Katwe,Kikorongo,Kikorongo,Spitting cobra,Predation,Captured
31/07/2022,QECA,Kasese,Muhokya,Muhokya,Little Elephant Camp,Spitting cobra,Human threat,Translocated
29/06/2021,QECA,Kasese,Katunguru,Katunguru,Katunguru,Tortoise,,Rescued
26/10/2021,QECA,Kasese,Karusandara,Kyalanga,Kabaka,,,meetting with bee keepers
April 2021,,Kasese,Nyamwamba,Kasese Municipality,Kanyangeya,,Crop damages,Sensitisation meeting